year,month,day,TP(kg)
2003,3,26,3211.20
2003,3,27,2218.83
2003,3,28,2207.75
2003,3,29,2028.86
2003,3,30,3175.38
2003,3,31,3676.21
2003,4,1,3611.03
2003,4,2,2578.53
2003,4,3,1805.46
2003,4,4,1596.98
2003,4,5,25506.00
2003,4,6,49325.16
2003,4,7,40875.90
2003,4,8,33471.99
2003,4,9,24673.54
2003,4,10,15689.23
2003,4,11,10681.16
2003,4,12,5129.94
2003,4,13,3208.68
2003,4,14,2235.97
2003,4,15,1772.88
2003,4,16,646.43
2003,4,17,864.39
2003,4,18,724.20
2003,4,19,484.75
2003,4,20,617.71
2003,4,21,490.44
2003,4,22,379.36
2003,4,23,288.00
2003,4,24,321.62
2003,4,25,216.98
2003,4,26,198.91
2003,4,27,217.87
2003,4,28,228.73
2003,4,29,172.25
2003,4,30,202.65
2003,5,1,259.98
2003,5,2,544.02
